DATE,COUNTRY,LEAGUE,TYPE,SEASON,HOME_TEAM,AWAY_TEAM,FTR,FTHG,FTAG,HTR,HTHG,HTAG,ETR,ETHG,ETAG,PENR,PENHG,PENAG,H_ST,H_SOG,H_SFG,H_PT,H_COR,H_FL,H_YC,H_RC,A_ST,A_SOG,A_SFG,A_PT,A_COR,A_FL,A_YC,A_RC
2022-08-12,Spain,La Liga,LEAGUE,2022/2023,Osasuna,Sevilla,H,2,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,12,5,7,34,5,16,5,0,9,4,5,66,2,9,3,0
2022-08-13,Spain,La Liga,LEAGUE,2022/2023,Celta de Vigo,Espanyol,D,2,2,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,8,3,5,60,3,17,5,0,14,2,12,40,3,15,2,0
2022-08-13,Spain,La Liga,LEAGUE,2022/2023,FC Barcelona,Rayo Vallecano,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,23,6,17,68,8,16,3,1,5,2,3,32,0,14,6,0
2022-08-13,Spain,La Liga,LEAGUE,2022/2023,Real Valladolid,Villarreal,A,0,3,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,12,6,6,52,4,6,1,0,11,4,7,48,5,10,0,0
2022-08-14,Spain,La Liga,LEAGUE,2022/2023,Valencia,Girona,H,1,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,16,3,13,46,4,18,2,1,5,1,4,54,4,14,3,0
2022-08-14,Spain,La Liga,LEAGUE,2022/2023,Almería,Real Madrid,A,1,2,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,10,6,4,33,2,11,3,0,29,15,14,67,15,4,1,0
2022-08-14,Spain,La Liga,LEAGUE,2022/2023,Cádiz,Real Sociedad,A,0,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,8,2,6,40,3,9,4,0,15,7,8,60,6,20,2,0
2022-08-15,Spain,La Liga,LEAGUE,2022/2023,Real Betis,Elche,H,3,0,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,18,9,9,72,8,10,3,0,4,1,3,28,4,18,6,1
2022-08-15,Spain,La Liga,LEAGUE,2022/2023,Getafe,Atlético Madrid,A,0,3,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,10,1,9,42,3,14,2,0,13,6,7,58,6,19,1,0
2022-08-15,Spain,La Liga,LEAGUE,2022/2023,Athletic Club,Mallorca,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,23,6,17,64,7,1,0,0,6,2,4,36,2,0,6,0
